"id","field_id","usage_id","valid_from","valid_to","note","created_at","created_by","updated_at","updated_by"
1,1,5,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
2,2,5,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
3,3,5,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
4,4,5,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
5,5,5,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
6,6,5,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
7,7,5,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
8,8,5,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
9,9,5,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
10,10,5,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
11,11,5,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
12,12,5,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
13,13,8,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
14,14,11,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
15,15,10,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
16,16,10,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
17,17,11,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
18,18,5,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
19,19,10,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
20,20,10,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
21,21,10,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
22,22,10,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
23,23,11,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
24,24,10,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
25,25,10,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
26,26,10,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
27,27,10,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
28,28,10,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
29,29,11,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
30,30,2,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 13:18:36+00",2
31,31,10,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
32,32,2,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
33,33,10,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
34,34,11,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
35,35,10,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 09:52:58+00",2
36,36,2,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
37,37,11,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
38,38,11,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
39,39,10,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
40,40,11,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
41,41,11,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
42,42,2,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
43,43,11,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
44,44,11,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
45,45,11,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
46,46,2,"1900-01-01",NULL,"","2026-01-19 08:29:16.92376+00",1,"2026-01-19 08:29:16.92376+00",1
