"id","role","forest_id","person_id","valid_from","valid_to","note","created_at","created_by","updated_at","updated_by"
1,1,1,80,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
2,2,1,79,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
3,1,2,83,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
4,2,2,27,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
5,1,3,13,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
6,2,3,13,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
7,1,4,81,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
8,2,4,29,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
9,1,5,12,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
10,2,5,12,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
11,1,6,9,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
12,2,6,9,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
13,1,7,82,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
14,2,7,8,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
15,1,8,24,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
16,2,8,24,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
17,1,9,83,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
18,2,9,27,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
19,1,10,13,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
20,2,10,13,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
21,1,11,13,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
22,2,11,13,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
23,1,12,83,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
24,2,12,27,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
25,1,13,76,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
26,2,13,3,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
27,1,14,11,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
28,2,14,11,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
29,1,15,82,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
