"id","from_person_id","to_person_id","note","created_at","created_by","updated_at","updated_by"
1,76,3,"","2026-01-08 15:03:05.549909+00",2,"2026-01-08 15:03:05+00",2
2,82,23,"","2026-01-08 15:03:40.256959+00",2,"2026-01-08 15:03:40+00",2
3,85,23,"","2026-01-08 15:04:13.839139+00",2,"2026-01-08 15:04:13+00",2
4,77,32,"","2026-01-08 15:13:53.436844+00",2,"2026-01-08 15:13:53+00",2
5,78,41,"","2026-01-08 15:14:51.835104+00",2,"2026-01-08 15:14:51+00",2
6,86,41,"","2026-01-08 15:15:16.563017+00",2,"2026-01-08 15:15:16+00",2
7,79,31,"","2026-01-08 15:15:57.816078+00",2,"2026-01-08 15:15:57+00",2
8,80,31,"","2026-01-08 15:17:18.287373+00",2,"2026-01-08 15:17:18+00",2
9,81,29,"","2026-01-08 15:18:00.384744+00",2,"2026-01-08 15:18:00+00",2
10,83,27,"","2026-01-08 15:18:39.714781+00",2,"2026-01-08 15:25:40+00",2
11,84,30,"","2026-01-08 15:52:23.378258+00",2,"2026-01-08 15:52:23+00",2
12,64,14,"","2026-01-08 15:53:01.276478+00",2,"2026-01-08 15:53:01+00",2
13,10,62,"","2026-01-08 15:53:22.871562+00",2,"2026-01-08 15:53:22+00",2
14,1,2,"","2026-01-08 15:53:59.853448+00",2,"2026-01-08 15:53:59+00",2
15,87,89,"","2026-01-08 15:59:21.9883+00",2,"2026-01-08 15:59:21+00",2
16,55,89,"","2026-01-08 15:59:39.754121+00",2,"2026-01-08 15:59:39+00",2
17,88,57,"","2026-01-08 16:01:43.855748+00",2,"2026-01-08 16:01:43+00",2
18,26,90,"","2026-01-08 16:11:43.756919+00",2,"2026-01-08 16:11:43+00",2
