"aza","note","p_no","area"
藤之迎,,2,3.9
藤之迎,,3,4.6 
藤之迎,,5,5.4 
藤之迎,,6,4.7 
藤之迎,,7,6.4 
藤之迎,,8,1.3 
藤之迎,(定),12,5.8 
藤之迎,,13,5.6 
藤之迎,,14,8.0 
藤之迎,,15,4.0 
藤之迎,,20,2.3 
藤之迎,,22,6.9 
藤之迎,,24,1.9 
藤之迎,,27,0.3 
藤之迎,,28,0.3 
藤之迎,,29,3.7 
藤之迎,,30,3.3 
藤之迎,,33,1.1 
藤之迎,,34,4.3 
藤之迎,,36,2.9 
藤之迎,,37,2.0 
藤之迎,,41,3.3 
藤之迎,,42,2.7 
藤之迎,(定),43,2.9 
藤之迎,(定),44,2.7 
藤之迎,,50,4.3 
九郎右衛門,,54,2.0 
九郎右衛門,,56,4.7 
九郎右衛門,,57,3.6 
九郎右衛門,(定),60,0.9 
九郎右衛門,(定),61,3.8 
九郎右衛門,(定),62,3.9 
九郎右衛門,,64,5.2 
九郎右衛門,,65,1.5 
九郎右衛門,,67,4.5 
九郎右衛門, K(寺15),69,2.6 
九郎右衛門,,70,2.9 
九郎右衛門,,72,1.6 
九郎右衛門,,74,6.3 
九郎右衛門,,75,4.2 
九郎右衛門,,77,2.7 
九郎右衛門,,78,8.9 
九郎右衛門,(定),80,6.2 
九郎右衛門,(定),81,5.3 
九郎右衛門,(定),82,3.0
九郎右衛門,,83,4.6 
九郎右衛門,(定),84,1.8 
九郎右衛門,(定),94,2.6 
九郎右衛門,,95,4.2 
九郎右衛門,(定),97,0.7 
九郎右衛門,,98,4.3 
九郎右衛門,,102,4.4 
九郎右衛門,,105,4.7 
九郎右衛門,,106,6.3 
九郎右衛門,,109,1.6 
九郎右衛門,,110,6.4 
九郎右衛門,,111,3.5 
九郎右衛門,,115,7.4 
九郎右衛門,,116,2.0 
九郎右衛門,,117,5.5 
九郎右衛門,,118,6.4 
九郎右衛門,,120,1.8 
九郎右衛門,,121,4.8 
九郎右衛門,,124,1.8 
九郎右衛門,,126,1.6 
九郎右衛門,,127,3.5 
九郎右衛門,,128,6.1 
九郎右衛門,(タチヨ)(定),129,4.2 
九郎右衛門,(タチヨ)(定),132,4.3 
九郎右衛門, (K08),133,6.9 
九郎右衛門, (K08),135,7.3 
九郎右衛門,,136,3.1 
九郎右衛門,,138,2.6 
九郎右衛門,(タチヨ)(定),142,6.7 
九郎右衛門,(タチヨ)(定),144,0.7 
九郎右衛門,,146,0.9 
九郎右衛門,(タチヨ)(定),148,5.0 
竹之本甲,,151,2.5 
竹之本甲,,152,1.6 
竹之本甲,,155,3.7 
竹之本甲,,156,6.1 
竹之本甲,,157,3.0 
竹之本甲,,158,1.1 
竹之本甲,,159,1.8 
竹之本甲,,160,1.7 
竹之本甲,,162,1.7 
竹之本甲,,163,1.4 
竹之本甲,(定),164,1.8 
竹之本甲,,165,1.4 
竹之本甲,,166,2.8 
竹之本甲,,167,3.5 
竹之本甲,,168,2.9 
竹之本甲,,169,2.3 
竹之本甲,,174,2.6 
竹之本甲,,178,3.5 
竹之本甲,,179,1.9 
竹之本甲,,180,2.4 
竹之本甲,,182,4.3 
竹之本甲,,185,3.4 
竹之本甲,,186,1.4 
竹之本甲,,187,2.3 
竹之本乙,,199,12.3 
竹之本乙,,206,1.6 
竹之本乙,,214,5.4 
竹之本乙,,216,9.1 
竹之本乙,,220,6.0 
竹之本乙,,221,4.0 
竹之本乙,,222,9.7 
竹之本乙,(定),260,3.1 
竹之本乙,(定),261,4.8 
竹之本乙,,262,2.4 
竹之本乙,,264,10.9 
竹之本乙,,264,5.9 
竹之本乙,,268,2.4 
竹之本乙,,269,2.3 
竹之本乙,,270,3.0 
竹之本乙,,272,4.0 
竹之本乙,,275,2.3 
竹之本乙, K(11),276,1.7 
竹之本乙,(定),279,2.2 
竹之本乙,,280,2.9 
竹之本乙,,281,2.1 
竹之本甲,,287,2.8 
竹之本乙,,292,10.0 
竹之本甲,,293,8.6 
竹之本,,294,0.2 
竹之本,,295,3.3 
竹之本乙,,296,6.1 
竹之本乙,,296,1.0 
竹之本乙,,297,1.0 
竹之本甲,,298,1.9 
竹之本乙,,299,3.3 
竹之本乙,,300,1.4 
竹之本乙,,301,2.3 
竹之本乙,,302,1.0 
竹之本甲,,307,3.4 
竹之本甲,,308,2.0 
竹之本甲, (K5),309,3.0 
竹之本甲, (K5),311,3.2 
竹之本甲,,312,1.8 
竹之本甲,,313,5.5 
竹之本甲,(定),316,2.7 
竹之本甲,(定),317,1.6 
竹之本,(定),318,2.2
竹之本甲,(定),318,1.1 
竹之本,(定),319,0.9
竹之本甲,,321,4.5 
竹之本,,323,1.5 
竹之本,,324,3.8 
竹之本甲,,325,3.6 
竹之本甲,,326,2.5 
竹之本甲, K(21),327,3.4 
森垣内,,331,3.1 
森垣内,(定),333,3.9 
森垣内,,335,5.0 
森垣内,(定),341,2.8 
森垣内,(定),343,2.0 
森垣内,(定),345,2.3 
森垣内,(定),347,2.3 
森垣内,,349,4.3 
森垣内,,350,3.8 
森垣内,,351,2.2 
森垣内,,352,6.7 
森垣内,,353,2.0 
森垣内,,354,2.2 
森垣内,,356,6.9 
森垣内,,356,2.9 
森垣内,,357,3.9 
森垣内,,359,2.0 
森垣内,,362,3.6 
森垣内,,363,4.8 
森垣内,,364,5.4 
森垣内,,365,5.1 
森垣内,,366,3.5 
森垣内,,367,5.3 
森垣内,,369,6.9 
森垣内,,372,5.5 
森垣内,,373,5.3 
森垣内,,375,4.3 
森垣内,,376,6.3 
森垣内,,377,6.2 
森垣内,,380,3.3 
森垣内,,381,2.6 
森垣内,(定),382,0.9 
森垣内,,384,3.6 
森垣内,,385,1.1 
森垣内,,386,1.9 
森垣内,,389,2.6 
森垣内,,390,1.2 
森垣内,,392,3.5 
森垣内,,393,2.5 
森垣内,,394,3.2 
森垣内,,396,0.5 
森垣内,,397,2.6 
森垣内,,398,3.4 
森垣内,,401,0.8 
森垣内,,405,0.9 
森垣内,,411,3.5 
森垣内,,413,1.1 
森垣内,,414,3.3 
森垣内,(定),415,4.8 
森垣内,(定),416,3.4 
森垣内,(定),421,3.8 
森垣内,,428,6.3 
森垣内,,429,1.6 
森垣内,(定),430,0.9 
森垣内,(定),431,1.7 
森垣内,,432,1.7 
森垣内, K(9),433,2.6 
森垣内,,434,3.7 
森垣内,,435,1.8 
森垣内,,436,4.3 
