"id","type","order","name","created_at","created_by","updated_at","updated_by"
2,1,100,"コシヒカリ","2026-01-19 08:06:39.131313+00",1,"2026-01-19 08:09:49+00",2
9,1,110,"水田","2026-01-19 08:06:39.131313+00",1,"2026-01-19 08:10:20+00",2
11,1,200,"蕎麦","2026-01-19 08:06:39.131313+00",1,"2026-01-19 08:10:36+00",2
10,2,300,"畑","2026-01-19 08:06:39.131313+00",1,"2026-01-19 08:10:59+00",2
5,2,350,"家庭菜園","2026-01-19 08:06:39.131313+00",1,"2026-01-19 08:11:18+00",2
6,3,400,"果樹","2026-01-19 08:06:39.131313+00",1,"2026-01-19 08:11:52+00",2
7,3,410,"果樹・樹木","2026-01-19 08:06:39.131313+00",1,"2026-01-19 08:12:18+00",2
8,3,420,"樹木","2026-01-19 08:06:39.131313+00",1,"2026-01-19 08:12:46+00",2
3,4,500,"コスモス","2026-01-19 08:06:39.131313+00",1,"2026-01-19 08:13:13+00",2
4,5,900,"保全管理","2026-01-19 08:06:39.131313+00",1,"2026-01-19 08:13:35+00",2
1,0,999,"----","2026-01-19 08:06:39.131313+00",1,"2026-01-19 08:14:05+00",2
